"Review Image","Review Image"
Taxes,Taxes
"Money Box","Money Box"
"Vip Discount","Vip Discount"
"Ex Tax","Ex Tax"
Jan,Jan
Feb,Feb
Mar,Mar
Apr,Apr
May,May
Jun,Jun
Jul,Jul
Aug,Aug
Sep,Sep
Oct,Oct
Nov,Nov
Dec,Dec
Mon,Mon
Tue,Tue
Wed,Wed
Thur,Thur
Fri,Fri
Sat,Sat
Sun,Sun
"from %1 for %2 days","from %1 for %2 days"
"Army Address","Army Address"
"Date not available for this product.","Date not available for this product."
"My Products","My Products"
"My Reservations","My Reservations"
"Product Saved","Product Saved"
"Product Save error","Product Save error"
Success,Success
Fail,Fail
"Item expected to receive","Item expected to receive"
"Your rental expires and wait for the return by courier or return to the showroom on %1 ","Your rental expires and wait for the return by courier or return to the showroom on %1 "
"Rent expiry notice","Rent expiry notice"
"Delete successfully !","Delete successfully !"
"order not in return mode # %1","order not in return mode # %1"
"Invalid amount # %1/%2","Invalid amount # %1/%2"
"Deposit partial capture invoice #%1 %2","Deposit partial capture invoice #%1 %2"
"deposit partial capture. %1 . Rest needs to be voided ","deposit partial capture. %1 . Rest needs to be voided "
"Amount not specified.","Amount not specified."
"balance Deposit refunded invoice #%1. %2","balance Deposit refunded invoice #%1. %2"
"balance deposit refunded  invoice created # %1","balance deposit refunded  invoice created # %1"
"order not returned # %1","order not returned # %1"
"Deposit forfeited invoice #%1. %2","Deposit forfeited invoice #%1. %2"
"deposit Amount forfeited and invoice created # %1","deposit Amount forfeited and invoice created # %1"
"order not in fault mode # %1","order not in fault mode # %1"
"order not returned # %1 = %2 ","order not returned # %1 = %2 "
"We have received the rented items and your deposit will be released soon in its entirety. ","We have received the rented items and your deposit will be released soon in its entirety. "
"We have  released  deposit ϵ %1. %2","We have  released  deposit ϵ %1. %2"
"We have partially released  ϵ %1. %2","We have partially released  ϵ %1. %2"
"Deposit refunded. %1","Deposit refunded. %1"
"Deposit Refunded.  # %1","Deposit Refunded.  # %1"
"order not processed # %1","order not processed # %1"
"Payment of rental invoice #%1. %2","Payment of rental invoice #%1. %2"
"Amount captured and invoice created # %1","Amount captured and invoice created # %1"
Reservations,Reservations
Done,Done
"Subscription already in cart","Subscription already in cart"
"Subscription already in cart.","Subscription already in cart."
"Already Subscribed","Already Subscribed"
"Subscription added","Subscription added"
"Subcription added","Subcription added"
"Cannot subscribe now ","Cannot subscribe now "
Invalid,Invalid
Delete,Delete
"Cannot delete","Cannot delete"
"Invalid access","Invalid access"
"No access","No access"
"Product Saved.","Product Saved."
"Upload error","Upload error"
"Login successful.","Login successful."
"Invalid login or password.","Invalid login or password."
"Username already exist. login to your account.","Username already exist. login to your account."
"Username exist.","Username exist."
"Registered and logged in.","Registered and logged in."
