"Cannot be used as guest.","Cannot be used as guest."
"Cannot be used as guest2.","Cannot be used as guest2."
"You can't use the payment type you selected .","You can't use the payment type you selected ."
"Insufficient balance .","Insufficient balance ."
"Invalid entry","Invalid entry"
"Place Order","Place Order"
"You have %1 credit. You can't buy using this.","You have %1 credit. You can't buy using this."
"You have %1 credit. You can buy using this.","You have %1 credit. You can buy using this."
"Account credits.","Account credits."
"Point payment system","Point payment system"
Enabled,Enabled
"Paypoint ","Paypoint "
