"Payment Information","Payment Information"
Alias,Alias
"Payment method","Payment method"
"Credit Card Type","Credit Card Type"
"Card Number/Account Number","Card Number/Account Number"
"Expiration Date","Expiration Date"
"Card Holder","Card Holder"
State,State
Action,Action
Delete,Delete
Save,Save
"Categories configuration","Categories configuration"
"Categorie's %1 configuration","Categorie's %1 configuration"
"Kwixo category","Kwixo category"
"Apply to sub-categories","Apply to sub-categories"
"Resend payment information","Resend payment information"
"Refresh payment status","Refresh payment status"
AccountNo,AccountNo
Brand,Brand
Title,Title
"Add Brand","Add Brand"
"Add Method","Add Method"
"With this setting the customer will be redirected to the Ingenico ePayments paypage with the look and feel of your shop. </br> The template used can be seen here: </br>","With this setting the customer will be redirected to the Ingenico ePayments paypage with the look and feel of your shop. </br> The template used can be seen here: </br>"
"Incoming Ingenico ePayments Feedback\n\nRequest Path: %1\nParams: %2\n\nOrder not valid\n","Incoming Ingenico ePayments Feedback\n\nRequest Path: %1\nParams: %2\n\nOrder not valid\n"
"Order is not valid","Order is not valid"
"Incoming Ingenico ePayments Feedback\n\nRequest Path: %1\nParams: %2\n","Incoming Ingenico ePayments Feedback\n\nRequest Path: %1\nParams: %2\n"
"Hash is not valid","Hash is not valid"
"Log file could not be retrieved.","Log file could not be retrieved."
"Payment information has been resend to customer.","Payment information has been resend to customer."
"Payment information could not be sent.","Payment information could not be sent."
"Incoming accepted Ingenico ePayments Alias Feedback\n\nRequest Path: %1\nParams: %2\n","Incoming accepted Ingenico ePayments Alias Feedback\n\nRequest Path: %1\nParams: %2\n"
"Removed alias %1.","Removed alias %1."
"Could not remove alias %1.","Could not remove alias %1."
"Incoming exception Ingenico ePayments Alias Feedback\n\nRequest Path: %1\nParams: %2\n","Incoming exception Ingenico ePayments Alias Feedback\n\nRequest Path: %1\nParams: %2\n"
"Data succesfully deleted.","Data succesfully deleted."
"Shipping configuration","Shipping configuration"
"My payment information","My payment information"
"Removed payment information %1.","Removed payment information %1."
"Could not remove payment information %1.","Could not remove payment information %1."
"'Exception in acceptAction: ' .","'Exception in acceptAction: ' ."
"Your payment information was declined. Please select another payment method.","Your payment information was declined. Please select another payment method."
"Hash not valid","Hash not valid"
"Not possible to reenter the payment details for order %1","Not possible to reenter the payment details for order %1"
"invalid status provided","invalid status provided"
"Warning, transaction count is %1 instead of 1 for the Payid '%2', order '%3' and Operation '%4'.","Warning, transaction count is %1 instead of 1 for the Payid '%2', order '%3' and Operation '%4'."
"Ingenico ePayments Payment failed","Ingenico ePayments Payment failed"
"Successfully added Kwixo category mapping","Successfully added Kwixo category mapping"
"Invalid form data provided","Invalid form data provided"
"Invalid id provided","Invalid id provided"
"Invalid kwixo category provided","Invalid kwixo category provided"
"Invalid category provided","Invalid category provided"
"Module Secureset: %1","Module Secureset: %1"
"Trying again with non-utf8 secureset","Trying again with non-utf8 secureset"
"Checking hashes\nHashed String by Magento: %1\nHashed String by Ingenico ePayments: %2","Checking hashes\nHashed String by Magento: %1\nHashed String by Ingenico ePayments: %2"
"Order can not be saved.","Order can not be saved."
"Process outgoing transaction","Process outgoing transaction"
"A technical problem arose during payment process, giving unpredictable result. Ingenico ePayments status: %1.","A technical problem arose during payment process, giving unpredictable result. Ingenico ePayments status: %1."
"An unknown exception was thrown in the payment process. Ingenico ePayments status: %1.","An unknown exception was thrown in the payment process. Ingenico ePayments status: %1."
