"Images (%1)","Images (%1)"
"Slider Revolution Media Gallery","Slider Revolution Media Gallery"
"Add to Cart","Add to Cart"
"Install & Configure Add-Ons","Install & Configure Add-Ons"
Nwdthemes,Nwdthemes
"Slider Revolution","Slider Revolution"
"Slider Overview","Slider Overview"
"Navigation Editor","Navigation Editor"
"Global Settings","Global Settings"
"Slide Editor","Slide Editor"
"Slider Settings","Slider Settings"
"&laquo; Previous","&laquo; Previous"
"Next &raquo;","Next &raquo;"
&hellip;,&hellip;
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Can't get the bearer token, check your credentials","Can't get the bearer token, check your credentials"
"Bearer Token is good, check your query","Bearer Token is good, check your query"
"Please Wait a Moment","Please Wait a Moment"
"Settings saved","Settings saved"
Add-Ons,Add-Ons
"Image not Found","Image not Found"
Original,Original
Large,Large
"Large Square","Large Square"
Medium,Medium
"Medium 800","Medium 800"
"Medium 640","Medium 640"
Small,Small
"Small 320","Small 320"
Thumbnail,Thumbnail
Square,Square
"Standard Resolution","Standard Resolution"
"Low Resolution","Low Resolution"
"Original Size","Original Size"
Default,Default
High,High
Standard,Standard
"Max. Res.","Max. Res."
"Base Image","Base Image"
"Small Image","Small Image"
"Wrong Request","Wrong Request"
"View all posts in %s","View all posts in %s"
"Activate Slider Revolution for <a href=""http://revolution.themepunch.com/direct-customer-benefits/"" target=""_blank"">Premium Benefits (e.g. Add-Ons)</a>.","Activate Slider Revolution for <a href=""http://revolution.themepunch.com/direct-customer-benefits/"" target=""_blank"">Premium Benefits (e.g. Add-Ons)</a>."
"A new version of Slider Revolution is available.","A new version of Slider Revolution is available."
"-- wrong alias -- ","-- wrong alias -- "
"Navigation Bullets and Arrows are now set to none.","Navigation Bullets and Arrows are now set to none."
"Create Template","Create Template"
"Do you really want to delete","Do you really want to delete"
"Are you sure to replace the urls?","Are you sure to replace the urls?"
"Set selected settings on all Slides of this Slider? (This will be saved immediately)","Set selected settings on all Slides of this Slider? (This will be saved immediately)"
"Select Slide Image","Select Slide Image"
"Select Layer Image","Select Layer Image"
"Select Slide Video","Select Slide Video"
"Show Slide Options","Show Slide Options"
"Hide Slide Options","Hide Slide Options"
Close,Close
"Really update global styles?","Really update global styles?"
"This will remove all Global Styles, continue?","This will remove all Global Styles, continue?"
"Global Styles Editor","Global Styles Editor"
"Select Image","Select Image"
"No Thumbnail Image Set on Video / Video Not Found / No Valid Video ID","No Thumbnail Image Set on Video / Video Not Found / No Valid Video ID"
"Handle has to be at least three character long","Handle has to be at least three character long"
"Really change font settings?","Really change font settings?"
"Really delete font?","Really delete font?"
"Class already exists, overwrite?","Class already exists, overwrite?"
"Class must be a valid CSS class name","Class must be a valid CSS class name"
"Really overwrite Class?","Really overwrite Class?"
"Really delete Class","Really delete Class"
"? This can't be undone!","? This can't be undone!"
"This class does not exist.","This class does not exist."
"Making changes to these settings will probably overwrite advanced settings. Continue?","Making changes to these settings will probably overwrite advanced settings. Continue?"
"Select Static Layer Image","Select Static Layer Image"
"Do you really want to delete all the layers?","Do you really want to delete all the layers?"
"Layer Animation Editor","Layer Animation Editor"
"Animation already exists, overwrite?","Animation already exists, overwrite?"
"Really overwrite animation?","Really overwrite animation?"
"Default animations can't be deleted","Default animations can't be deleted"
"Must be greater than start time","Must be greater than start time"
"Selected layer not set","Selected layer not set"
"Edit Layer Start","Edit Layer Start"
"Edit Layer End","Edit Layer End"
"Default Animations can't be renamed","Default Animations can't be renamed"
"Animationname already existing","Animationname already existing"
"CSS classname already existing","CSS classname already existing"
"Original CSS classname not found","Original CSS classname not found"
"Enter a correct class name","Enter a correct class name"
"Class not found in database","Class not found in database"
"CSS classname not found","CSS classname not found"
"Delete this caption? This may affect other Slider","Delete this caption? This may affect other Slider"
"This will update the Class with the current set Style settings, this may affect other Sliders. Proceed?","This will update the Class with the current set Style settings, this may affect other Sliders. Proceed?"
"Template will have the state of the last save, proceed?","Template will have the state of the last save, proceed?"
"Please enter a Slide title","Please enter a Slide title"
"Copy / Move","Copy / Move"
"Preset Loaded","Preset Loaded"
"Add Bulk Slides","Add Bulk Slides"
Arrows,Arrows
Bullets,Bullets
Thumbnails,Thumbnails
Tabs,Tabs
"Delete this Navigation?","Delete this Navigation?"
"Navigation name could not be updated","Navigation name could not be updated"
"Name too short, at least 3 letters between a-zA-z needed","Name too short, at least 3 letters between a-zA-z needed"
"Navigation name already exists, please choose a different name","Navigation name already exists, please choose a different name"
"Remove current element from Navigation?","Remove current element from Navigation?"
"This navigation element does not exist, create one?","This navigation element does not exist, create one?"
"Overwrite current animation?","Overwrite current animation?"
"Default animations can't be changed","Default animations can't be changed"
"Animation already existing with given handle, please choose a different name.","Animation already existing with given handle, please choose a different name."
"Really delete animation:","Really delete animation:"
"This will reset the navigation, continue?","This will reset the navigation, continue?"
"Preset name already exists, please choose a different name","Preset name already exists, please choose a different name"
"Really delete this preset?","Really delete this preset?"
"This will update the preset with the current settings. Proceed?","This will update the preset with the current settings. Proceed?"
"Preset not found","Preset not found"
"Cover Image need to be set for videos","Cover Image need to be set for videos"
"Really remove this action?","Really remove this action?"
"Layer is triggered by ","Layer is triggered by "
" due to action: "," due to action: "
layer:,layer:
"Start Layer ""in"" animation","Start Layer ""in"" animation"
"Start Layer ""out"" animation","Start Layer ""out"" animation"
"Start Media","Start Media"
"Stop Media","Stop Media"
"Mute Media","Mute Media"
"Unmute Media","Unmute Media"
"Toggle Layer Animation","Toggle Layer Animation"
"Toggle Media","Toggle Media"
"Toggle Mute Media","Toggle Mute Media"
"Toggle Mute All Media","Toggle Mute All Media"
"Last Slide","Last Slide"
"Simulate Click","Simulate Click"
"Toggle FullScreen","Toggle FullScreen"
"Go FullScreen","Go FullScreen"
"Exit FullScreen","Exit FullScreen"
"Toogle Class","Toogle Class"
"Copy hover styles to idle?","Copy hover styles to idle?"
"Copy idle styles to hover?","Copy idle styles to hover?"
"Please select at least one device type","Please select at least one device type"
"Please select an existing Style Template","Please select an existing Style Template"
"Can not remove last transition!","Can not remove last transition!"
"Given animation name is a default animation. These can not be changed.","Given animation name is a default animation. These can not be changed."
"Animation exists, override existing animation?","Animation exists, override existing animation?"
"This feature is only available if you activate Slider Revolution for this installation","This feature is only available if you activate Slider Revolution for this installation"
"Unsaved data will be lost, proceed?","Unsaved data will be lost, proceed?"
"This will delete this Slide Template, proceed?","This will delete this Slide Template, proceed?"
"is Loading...","is Loading..."
"Google Fonts Loaded","Google Fonts Loaded"
"Delete Layer?","Delete Layer?"
"This template requires at least version","This template requires at least version"
"of Slider Revolution to work.","of Slider Revolution to work."
"Slider Revolution Shortcode Creator","Slider Revolution Shortcode Creator"
"Slider informations are missing!","Slider informations are missing!"
"Shortcode Generator","Shortcode Generator"
"Please add at least one Layer.","Please add at least one Layer."
"Choose Image","Choose Image"
"Shortcode parsing successfull. Items can be found in step 3","Shortcode parsing successfull. Items can be found in step 3"
"Shortcode could not be parsed.","Shortcode could not be parsed."
"Background Video","Background Video"
"Video in Active Slide","Video in Active Slide"
"Data could not be fetched for selected Slider","Data could not be fetched for selected Slider"
"Import Selected Layer?","Import Selected Layer?"
"Layer Imported! The Layer has actions which include other Layers. Import all connected layers?","Layer Imported! The Layer has actions which include other Layers. Import all connected layers?"
"Not available in Demo Mode","Not available in Demo Mode"
"By leaving now, all changes since the last saving will be lost. Really leave now?","By leaving now, all changes since the last saving will be lost. Really leave now?"
"--- Static Layers ---","--- Static Layers ---"
"Only available if plugin is activated","Only available if plugin is activated"
"Download/Install takes longer than usual, please wait","Download/Install takes longer than usual, please wait"
