Template,Template
"Add New Templates","Add New Templates"
"Save Block","Save Block"
"Delete Block","Delete Block"
"Save and Continue Edit","Save and Continue Edit"
"Edit Item '%1'","Edit Item '%1'"
"New Item","New Item"
"Store View","Store View"
"Chose Demo","Chose Demo"
"Mimosa 1","Mimosa 1"
"Mimosa 2","Mimosa 2"
"Mimosa 3","Mimosa 3"
"Mimosa 4","Mimosa 4"
"Mimosa 5","Mimosa 5"
"Mimosa 6","Mimosa 6"
"Chose Action","Chose Action"
"Install Template","Install Template"
"Uninstall Template","Uninstall Template"
"Banner Information","Banner Information"
"Template Information","Template Information"
"The Template Demo ' . . '  has been saved successfully.","The Template Demo ' . . '  has been saved successfully."
"The Template has uninstalled successfully.","The Template has uninstalled successfully."
"Error during Import ","Error during Import "
"Success to Import ","Success to Import "
"Select Product Actions","Select Product Actions"
"-- Please select --","-- Please select --"
"Mass Actions","Mass Actions"
"Select All","Select All"
"Unselect All","Unselect All"
"Select Visible","Select Visible"
"Unselect Visible","Unselect Visible"
"items selected","items selected"
