Plazathemes,Plazathemes
"Plazathemes Themeoptions","Plazathemes Themeoptions"
General,General
Custom,Custom
"Background Color","Background Color"
"Text Font Color","Text Font Color"
"Links Color","Links Color"
"Links Hover Color","Links Hover Color"
"Primary Color","Primary Color"
"Border Color","Border Color"
"Heading Color","Heading Color"
"Menu Color","Menu Color"
"Background Label","Background Label"
Header,Header
"Background Header","Background Header"
"Header Color","Header Color"
Footer,Footer
"Footer Background","Footer Background"
"Footer Color","Footer Color"
"Footer Links Color","Footer Links Color"
"Footer Links Hover Color","Footer Links Hover Color"
