"We can't find products matching the selection.","We can't find products matching the selection."
new,new
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
WishList,WishList
"Add to Compare","Add to Compare"
Compare,Compare
D,D
H,H
M,M
S,S
"Learn More","Learn More"
"Add to WishList","Add to WishList"
"More Choices:","More Choices:"
crosssell,crosssell
"Related Products","Related Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"Show :","Show :"
"per page","per page"
"Sort By :","Sort By :"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Upsell Products","Upsell Products"
"Add to wishlist","Add to wishlist"
"Add to compare","Add to compare"
Qty:,Qty:
Qty,Qty
Availability,Availability
Availability:,Availability:
"Rejoignez notre communauté","Rejoignez notre communauté"
"Inscription Newsletter","Inscription Newsletter"
"Venez découvrir les nouvelles  tendances, profitez de nos nouveautés et promotions en avant première, ...","Venez découvrir les nouvelles  tendances, profitez de nos nouveautés et promotions en avant première, ..."
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email...","Enter your email..."
Subscribe,Subscribe
Rating,Rating
Review,Review
Reviews,Reviews
"Add Your Review","Add Your Review"
"Be the first to review this product","Be the first to review this product"
"Customer Reviews","Customer Reviews"
"Review by","Review by"
"Posted on","Posted on"
"%1 Review(s)","%1 Review(s)"
"Back to Main Product Info","Back to Main Product Info"
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
"Local Storage seems to be disabled in your browser.","Local Storage seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
Page,Page
Previous,Previous
"You're currently reading page","You're currently reading page"
Next,Next
Show,Show
Categories:,Categories:
"Suivez toutes les actualités et les tendances modes","Suivez toutes les actualités et les tendances modes"
"We can't find posts matching the selection.","We can't find posts matching the selection."
"Related Posts","Related Posts"
Archive,Archive
"Archive %s","Archive %s"
Categories,Categories
"Recent Posts","Recent Posts"
Search,Search
"Search posts here...","Search posts here..."
"Tendances, mode, créateurs, ...Lifestyle!","Tendances, mode, créateurs, ...Lifestyle!"
"Read more","Read more"
"Vous possédez le style, matchez le avec notre sélection de créateurs","Vous possédez le style, matchez le avec notre sélection de créateurs"
"Add to Wishlist","Add to Wishlist"
"Votre Dressing De Luxe","Votre Dressing De Luxe"
"close icon","close icon"
categories,categories
setting,setting
"open icon","open icon"
none,none
Overview,Overview
Details,Details
"More Information","More Information"
"Catalog Advanced Search","Catalog Advanced Search"
