Delete,Delete,module,Bss_PromotionBar
"Save and Continue Edit","Save and Continue Edit",module,Bss_PromotionBar
"Save Promotion Bar","Save Promotion Bar",module,Bss_PromotionBar
"New Promotion Bar","New Promotion Bar",module,Bss_PromotionBar
"General Information","General Information",module,Bss_PromotionBar
Enable,Enable,module,Bss_PromotionBar
Name,Name,module,Bss_PromotionBar
"Store Views","Store Views",module,Bss_PromotionBar
"Customer Groups","Customer Groups",module,Bss_PromotionBar
"Start Date","Start Date",module,Bss_PromotionBar
"End Date","End Date",module,Bss_PromotionBar
Priority,Priority,module,Bss_PromotionBar
General,General,module,Bss_PromotionBar
"Content and Design","Content and Design",module,Bss_PromotionBar
Content,Content,module,Bss_PromotionBar
"Background Color","Background Color",module,Bss_PromotionBar
"Height (pixel)","Height (pixel)",module,Bss_PromotionBar
"Display Setting","Display Setting",module,Bss_PromotionBar
"Display on Page","Display on Page",module,Bss_PromotionBar
"Exclude Categories","Exclude Categories",module,Bss_PromotionBar
"Enter ID of Categories to be excluded from the Display Rule. Example: 3,4,5","Enter ID of Categories to be excluded from the Display Rule. Example: 3,4,5",module,Bss_PromotionBar
"Exclude Products","Exclude Products",module,Bss_PromotionBar
"Enter ID of Products to be excluded from the Display Rule. Example: 3,4,5","Enter ID of Products to be excluded from the Display Rule. Example: 3,4,5",module,Bss_PromotionBar
Position,Position,module,Bss_PromotionBar
"Auto Close Promotion Bar After (seconds)","Auto Close Promotion Bar After (seconds)",module,Bss_PromotionBar
"Fill “0” to disable auto close of the Promotion Bar.","Fill “0” to disable auto close of the Promotion Bar.",module,Bss_PromotionBar
"Display Rule","Display Rule",module,Bss_PromotionBar
"Promotion Bar Information","Promotion Bar Information",module,Bss_PromotionBar
"The Promotion Bar has been deleted.","The Promotion Bar has been deleted.",module,Bss_PromotionBar
"Promotion Bar to delete was not found.","Promotion Bar to delete was not found.",module,Bss_PromotionBar
"Promotion Bar","Promotion Bar",module,Bss_PromotionBar
"This Promotion Bar no longer exists.","This Promotion Bar no longer exists.",module,Bss_PromotionBar
%1,%1,module,Bss_PromotionBar
"Manage Promotion Bar","Manage Promotion Bar",module,Bss_PromotionBar
"A total of %1 record(s) have been avtived.","A total of %1 record(s) have been avtived.",module,Bss_PromotionBar
"A total of %1 record(s) have been deactived.","A total of %1 record(s) have been deactived.",module,Bss_PromotionBar
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted.",module,Bss_PromotionBar
"The Promotion Bar has been saved.","The Promotion Bar has been saved.",module,Bss_PromotionBar
"Home Page","Home Page",module,Bss_PromotionBar
"Catagory Page","Catagory Page",module,Bss_PromotionBar
"Product Page","Product Page",module,Bss_PromotionBar
"Cart Page","Cart Page",module,Bss_PromotionBar
"Checkout Page","Checkout Page",module,Bss_PromotionBar
"All Other Pages","All Other Pages",module,Bss_PromotionBar
"Top of Page","Top of Page",module,Bss_PromotionBar
"Above Menu","Above Menu",module,Bss_PromotionBar
"Under Menu","Under Menu",module,Bss_PromotionBar
"Above Page Content","Above Page Content",module,Bss_PromotionBar
"Under Page Content","Under Page Content",module,Bss_PromotionBar
"All Store View","All Store View",module,Bss_PromotionBar
Edit,Edit,module,Bss_PromotionBar
"Review Image","Review Image",module,Ibapi_Multiv
Taxes,Taxes,module,Ibapi_Multiv
"Money Box","Money Box",module,Ibapi_Multiv
"Vip Discount","Vip Discount",module,Ibapi_Multiv
"Ex Tax","Ex Tax",module,Ibapi_Multiv
Jan,Jan,module,Ibapi_Multiv
Feb,Feb,module,Ibapi_Multiv
Mar,Mar,module,Ibapi_Multiv
Apr,Apr,module,Ibapi_Multiv
May,May,module,Ibapi_Multiv
Jun,Jun,module,Ibapi_Multiv
Jul,Jul,module,Ibapi_Multiv
Aug,Aug,module,Ibapi_Multiv
Sep,Sep,module,Ibapi_Multiv
Oct,Oct,module,Ibapi_Multiv
Nov,Nov,module,Ibapi_Multiv
Dec,Dec,module,Ibapi_Multiv
Mon,Mon,module,Ibapi_Multiv
Tue,Tue,module,Ibapi_Multiv
Wed,Wed,module,Ibapi_Multiv
Thur,Thur,module,Ibapi_Multiv
Fri,Fri,module,Ibapi_Multiv
Sat,Sat,module,Ibapi_Multiv
Sun,Sun,module,Ibapi_Multiv
"from %1 for %2 days","from %1 for %2 days",module,Ibapi_Multiv
"Army Address","Army Address",module,Ibapi_Multiv
"Date not available for this product.","Date not available for this product.",module,Ibapi_Multiv
"My Products","My Products",module,Ibapi_Multiv
"My Reservations","My Reservations",module,Ibapi_Multiv
"Product Saved","Product Saved",module,Ibapi_Multiv
"Product Save error","Product Save error",module,Ibapi_Multiv
Success,Success,module,Ibapi_Multiv
Fail,Fail,module,Ibapi_Multiv
"Item expected to receive","Item expected to receive",module,Ibapi_Multiv
"Your rental expires and wait for the return by courier or return to the showroom on %1 ","Your rental expires and wait for the return by courier or return to the showroom on %1 ",module,Ibapi_Multiv
"Rent expiry notice","Rent expiry notice",module,Ibapi_Multiv
"Delete successfully !","Delete successfully !",module,Ibapi_Multiv
"order not in return mode # %1","order not in return mode # %1",module,Ibapi_Multiv
"Invalid amount # %1/%2","Invalid amount # %1/%2",module,Ibapi_Multiv
"Deposit partial capture invoice #%1 %2","Deposit partial capture invoice #%1 %2",module,Ibapi_Multiv
"deposit partial capture. %1 . Rest needs to be voided ","deposit partial capture. %1 . Rest needs to be voided ",module,Ibapi_Multiv
"Amount not specified.","Amount not specified.",module,Ibapi_Multiv
"balance Deposit refunded invoice #%1. %2","balance Deposit refunded invoice #%1. %2",module,Ibapi_Multiv
"balance deposit refunded  invoice created # %1","balance deposit refunded  invoice created # %1",module,Ibapi_Multiv
"order not returned # %1","order not returned # %1",module,Ibapi_Multiv
"Deposit forfeited invoice #%1. %2","Deposit forfeited invoice #%1. %2",module,Ibapi_Multiv
"deposit Amount forfeited and invoice created # %1","deposit Amount forfeited and invoice created # %1",module,Ibapi_Multiv
"order not in fault mode # %1","order not in fault mode # %1",module,Ibapi_Multiv
"order not returned # %1 = %2 ","order not returned # %1 = %2 ",module,Ibapi_Multiv
"We have received the rented items and your deposit will be released soon in its entirety. ","We have received the rented items and your deposit will be released soon in its entirety. ",module,Ibapi_Multiv
"We have  released  deposit ϵ %1. %2","We have  released  deposit ϵ %1. %2",module,Ibapi_Multiv
"We have partially released  ϵ %1. %2","We have partially released  ϵ %1. %2",module,Ibapi_Multiv
"Deposit refunded. %1","Deposit refunded. %1",module,Ibapi_Multiv
"Deposit Refunded.  # %1","Deposit Refunded.  # %1",module,Ibapi_Multiv
"order not processed # %1","order not processed # %1",module,Ibapi_Multiv
"Payment of rental invoice #%1. %2","Payment of rental invoice #%1. %2",module,Ibapi_Multiv
"Amount captured and invoice created # %1","Amount captured and invoice created # %1",module,Ibapi_Multiv
Reservations,Reservations,module,Ibapi_Multiv
Done,Done,module,Ibapi_Multiv
"Subscription already in cart","Subscription already in cart",module,Ibapi_Multiv
"Subscription already in cart.","Subscription already in cart.",module,Ibapi_Multiv
"Already Subscribed","Already Subscribed",module,Ibapi_Multiv
"Subscription added","Subscription added",module,Ibapi_Multiv
"Subcription added","Subcription added",module,Ibapi_Multiv
"Cannot subscribe now ","Cannot subscribe now ",module,Ibapi_Multiv
Invalid,Invalid,module,Ibapi_Multiv
Delete,Delete,module,Ibapi_Multiv
"Cannot delete","Cannot delete",module,Ibapi_Multiv
"Invalid access","Invalid access",module,Ibapi_Multiv
"No access","No access",module,Ibapi_Multiv
"Product Saved.","Product Saved.",module,Ibapi_Multiv
"Upload error","Upload error",module,Ibapi_Multiv
"Login successful.","Login successful.",module,Ibapi_Multiv
